Id;v2a1;hacdor;rooms;hacapo;v14a;refrig;v18q;v18q1;r4h1;r4h2;r4h3;r4m1;r4m2;r4m3;r4t1;r4t2;r4t3;tamhog;tamviv;escolari;hhsize;paredblolad;paredzocalo;paredpreb;pareddes;paredmad;paredzinc;paredfibras;paredother;pisomoscer;pisocemento;pisoother;pisonatur;pisonotiene;pisomadera;techozinc;techoentrepiso;techocane;techootro;cielorazo;abastaguadentro;abastaguafuera;abastaguano;public;planpri;noelec;coopele;dis;estadocivil1;estadocivil2;estadocivil3;estadocivil4;estadocivil5;estadocivil6;estadocivil7;idhogar;hogar_nin;hogar_adul;hogar_mayor;hogar_total;dependency;edjefe;edjefa;meaneduc;bedrooms;overcrowding;computer;television;mobilephone;qmobilephone;lugar1;lugar2;lugar3;lugar4;lugar5;lugar6;age;SQBescolari;SQBage;SQBhogar_total;SQBedjefe;SQBhogar_nin;SQBovercrowding;SQBdependency;SQBmeaned;agesq;Target;sanitario;sanioth;energcocinar;elimbasu;elimoth;epared;etecho;eviv;gender;parentesco;instlevel;tipovivi;tipooth;area
ID_279628684;190000.0;0;3;0;1;1;0;0;0;1;1;0;0;0;0;1;1;1;1;10;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;21eb7fcc1;0;1;0;1;no;10;no;10.0;1;1.0;0;0;1;1;1;0;0;0;0;0;43;100;1849;1;100;0;1.0;0.0;100.0;1849;4;2;0;2;4;0;2;1;1;1;1;4;3;0;1
ID_f29eb3ddd;135000.0;0;4;0;1;1;1;1;0;1;1;0;0;0;0;1;1;1;1;12;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0e5d7a658;0;1;1;1;8;12;no;12.0;1;1.0;0;0;1;1;1;0;0;0;0;0;67;144;4489;1;144;0;1.0;64.0;144.0;4489;4;2;0;4;4;0;2;2;2;1;1;8;3;0;1
ID_68de51c94;165231.6;0;8;0;1;1;0;0;0;0;0;0;1;1;0;1;1;1;1;11;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;2c7317ea8;0;1;1;1;8;no;11;11.0;2;0.5;0;0;0;0;1;0;0;0;0;0;92;121;8464;1;0;0;0.25;64.0;121.0;8464;4;2;0;4;4;0;2;3;3;0;1;5;1;0;1
ID_d671db89c;180000.0;0;5;0;1;1;1;1;0;2;2;1;1;2;1;3;4;4;4;9;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2b58d945f;2;2;0;4;yes;11;no;11.0;3;1.3333334;0;0;1;3;1;0;0;0;0;0;17;81;289;16;121;4;1.7777778999999998;1.0;121.0;289;4;2;0;4;4;0;3;3;3;1;3;4;3;0;1
ID_d56d6f5f5;180000.0;0;5;0;1;1;1;1;0;2;2;1;1;2;1;3;4;4;4;11;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2b58d945f;2;2;0;4;yes;11;no;11.0;3;1.3333334;0;0;1;3;1;0;0;0;0;0;37;121;1369;16;121;4;1.7777778999999998;1.0;121.0;1369;4;2;0;4;4;0;3;3;3;0;2;5;3;0;1
ID_ec05b1a7b;180000.0;0;5;0;1;1;1;1;0;2;2;1;1;2;1;3;4;4;4;11;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2b58d945f;2;2;0;4;yes;11;no;11.0;3;1.3333334;0;0;1;3;1;0;0;0;0;0;38;121;1444;16;121;4;1.7777778999999998;1.0;121.0;1444;4;2;0;4;4;0;3;3;3;1;1;5;3;0;1
ID_e9e0c1100;180000.0;0;5;0;1;1;1;1;0;2;2;1;1;2;1;3;4;4;4;2;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2b58d945f;2;2;0;4;yes;11;no;11.0;3;1.3333334;0;0;1;3;1;0;0;0;0;0;8;4;64;16;121;4;1.7777778999999998;1.0;121.0;64;4;2;0;4;4;0;3;3;3;0;3;2;3;0;1
ID_3e04e571e;130000.0;1;2;0;1;1;0;0;0;1;1;2;1;3;2;2;4;4;4;0;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;d6dae86b7;2;2;0;4;yes;9;no;10.0;1;4.0;0;0;1;1;1;0;0;0;0;0;7;0;49;16;81;4;16.0;1.0;100.0;49;4;2;0;2;4;0;1;1;2;0;3;1;3;0;1
ID_1284f8aad;130000.0;1;2;0;1;1;0;0;0;1;1;2;1;3;2;2;4;4;4;9;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;d6dae86b7;2;2;0;4;yes;9;no;10.0;1;4.0;0;0;1;1;1;0;0;0;0;0;30;81;900;16;81;4;16.0;1.0;100.0;900;4;2;0;2;4;0;1;1;2;1;1;4;3;0;1
ID_51f52fdd2;130000.0;1;2;0;1;1;0;0;0;1;1;2;1;3;2;2;4;4;4;11;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;d6dae86b7;2;2;0;4;yes;9;no;10.0;1;4.0;0;0;1;1;1;0;0;0;0;0;28;121;784;16;81;4;16.0;1.0;100.0;784;4;2;0;2;4;0;1;1;2;0;2;5;3;0;1
